id_unique;stocking_bs_jp;id_fire;time_since_fire;latitude;longitude;seasonality_real_date;seasonality_adjusted;CBI;sphagnum_cover;ericaceous_cover;rom_med;age;basal_area_prefire_bs;prefire_bs_proportion;seedlings_ha_bs;seedlings_ha_jp;seedlings_ha_bl
20192005X023;1;2005_2;14;50.49603;-72.60109;2005-06-03;38;2.33515916;0;67.5925926;130;118;12.08967381;100;750;0;0
20192005X034;1;2005_2;14;50.42539;-72.49593;2005-06-05;38;1.887898942;0;46.2962963;148;104;7.279541435;100;250;0;0
20192005X033;1;2005_2;14;50.423;-72.49829;2005-06-05;38;2.245872155;1.098901099;66.6666667;210;204;9.03273097;94.0235961;2250;500;0
20192005P047;1;2005_3;14;50.24711;-72.36728;2005-06-03;34;2.433152796;0;48.1481481;204;134;10.74110961;98.16937428;500;0;0
20192005P014;1;2005_3;14;50.24671;-72.36347;2005-06-03;34;2.575061871;0;61.1111111;280;149;15.84026455;94.08732983;500;0;0
20192005X008;1;2005_3;14;50.25159;-72.36203;2005-06-03;34;2.2980708;0;37.962963;180;150;9.491341502;93.38652831;250;500;0
20182005D080;1;2005_4;13;50.27958;-72.13392;2005-06-05;45;1.879940603;0;27.7777778;133;76.5;3.322506346;66.47609649;250;1750;0
20182005D063;1;2005_4;13;50.32863;-72.05698;2005-06-04;38;2.187394517;1.098901099;42.5925926;110;95;4.890085069;53.49225781;250;2500;0
20182005D070;1;2005_4;13;50.32986;-72.06222;2005-06-04;38;2.490086653;0;25.9259259;100;137.5;5.787237635;65.27433501;250;1500;0
20182005F074;1;2005_4;13;50.32939;-72.05278;2005-06-04;38;2.054339209;0;50;80;91;5.970350881;76.62521826;500;500;0
20182005D068;1;2005_4;13;50.32757;-72.06332;2005-06-04;38;2.467110827;0;35.1851852;85;91;7.648417074;65.83472096;250;0;0
20172005173;1;2005_5;12;51.102145;-71.018448;2005-06-04;56;1.860256718;0;43.5185185;140;268;4.273741449;100;250;0;0
